feature,importance_mean,importance_std
sleep_hours,0.03477614124073371,0.011156658989590453
device_hours_per_day,0.028935817401482832,0.008867709091884016
device_to_sleep_ratio,0.015568506957992102,0.009508541836507324
phone_unlocks,0.009327041878007735,0.003307387955158301
social_to_study_ratio,0.005251820782936833,0.002079244458571863
income_level,0.004900263363246382,0.0018798066186451578
gender,0.0046686012485370855,0.0033362245268575607
daily_role,0.004267866432566192,0.002106505033844651
activity_sleep_interaction,0.00416016387046445,0.005013582203700883
notifications_per_device_hour,0.00399759396540531,0.0024076070547124754
study_hours,0.003240424632592187,0.0023397574254042618
sleep_quality,0.00274621212121231,0.0035249470838094356
region,0.0026726492391730638,0.002816843331275016
education_level,0.0016029392638836181,0.003109661115461367
unlocks_per_device_hour,0.001320880478605979,0.0042035124307651505
social_media_hours,0.000718558980361761,0.003336277874945338
notifications_per_day,0.0006015086487191179,0.004836191687631553
physical_activity_days,-0.0008299193653268699,0.0033616285199488836
study_mins,-0.0011871667316944224,0.003598104132188724
device_type,-0.0014846696579527085,0.0019334041179498104
social_media_mins,-0.004262176485888702,0.004114239317636151
age,-0.0065011705033162,0.002758258596402903
