Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
0.0001006397375124165,-1.0285983785300645,1.0543126067384534,-1.572090792757722,-1.0352163970269406,-0.04925982198517708,0.2409541447369789,-0.10409618812587566,-0.6710719331057998,0.762229148737773,-0.4245674395542055,0.27732944586691677,0.25127797444001687,-0.5397371136739728,-0.6253434291338786,1.7888601202355103,-0.001899948730687651,0.21919917607979605,-0.6721455968365369,0.7997985932200637,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1.8820637312214128,-1.0285983785300645,1.0543126067384534,1.1612599006566522,0.38112444467658496,0.853836914409734,0.2409541447369789,0.8525889093953193,1.7204371157593616,0.4865132448865561,-0.4245674395542055,-1.549391455052894,0.25127797444001687,2.784225300424998,-0.6253434291338786,-2.491950899907481,-0.32342973392398494,-0.057313546039212654,-0.3702427154481373,-0.03437819490452876,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.3320104940537641,-0.29626296339539077,0.07562579879558516,-1.572090792757722,-2.451557238730466,-0.04925982198517708,0.2409541447369789,-0.08691022829016558,-0.6710719331057998,2.4165245718450743,2.3553384146697574,1.1906898963268222,-0.9350128920149986,-0.28404769720482126,0.14929370154998015,0.3619231135211799,0.3196298364626096,0.7722246203178135,-0.6721455968365369,0.5217396638451995,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0.2215080622650301,-1.0285983785300645,-1.8817478170901514,1.1612599006566522,-1.0352163970269406,1.756933650804645,1.1424832576984651,1.327854959172981,-0.6710719331057998,0.21079734103533923,-0.4245674395542055,0.27732944586691677,0.25127797444001687,1.2500888016100884,0.14929370154998015,0.3619231135211799,2.248808547622393,0.49571189819880473,2.648786098435858,1.0778575225949278,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.9962327616363171,-1.0285983785300645,0.07562579879558516,-1.572090792757722,-1.0352163970269406,-0.952356558380088,-0.6605749682245073,-0.8248456395074457,-0.6710719331057998,-0.06491856281587766,-0.4245674395542055,-1.549391455052894,1.4375688408950325,-1.3068053630814276,-0.6253434291338786,0.3619231135211799,-0.9664893043105794,-1.1633644345152474,-0.6721455968365369,-1.1466139124039854,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-1.4390476066913525,-0.6624306709627276,-1.8817478170901514,1.1612599006566522,0.38112444467658496,-0.04925982198517708,0.2409541447369789,-0.49258374935038396,-0.6710719331057998,-0.8920662743695283,-0.4245674395542055,0.27732944586691677,1.4375688408950325,-0.7954265301431245,0.14929370154998015,0.3619231135211799,-0.32342973392398494,-0.057313546039212654,-0.6721455968365369,-0.3124371242793929,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
-0.8855290503725584,-0.05215115835049954,2.0329994146813215,-0.6609738949529306,-1.0352163970269406,-0.952356558380088,1.1424832576984651,-0.5305625988638668,-1.0696567745833268,0.4865132448865561,-0.4245674395542055,0.27732944586691677,-0.9350128920149986,-0.9232712383777002,-0.6253434291338786,0.3619231135211799,-0.6449595191172822,-0.61033899027723,-0.06833983405973777,-0.5904960536542571,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
-0.11060307152624642,-0.9065424760076188,-0.903061009147283,-0.6609738949529306,-1.0352163970269406,0.853836914409734,0.2409541447369789,0.2360160787462635,-0.6710719331057998,-0.6163503705183114,-0.4245674395542055,-0.6360310045929886,1.4375688408950325,-0.15620298897024543,-0.6253434291338786,0.3619231135211799,0.48039472905925823,1.325250064555831,2.044980335659059,-1.1466139124039854,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
-0.4427142053175229,-0.6624306709627276,1.0543126067384534,0.2501430028518608,-1.0352163970269406,-0.952356558380088,-0.6605749682245073,-0.8193291585725264,1.3218522742818348,1.5893768602914238,2.3553384146697574,1.1906898963268222,-0.9350128920149986,-0.5397371136739728,0.14929370154998015,0.3619231135211799,-0.6449595191172822,-0.61033899027723,-0.3702427154481373,-0.8685549830291213,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
-0.3320104940537641,-0.9065424760076188,1.0543126067384534,0.2501430028518608,0.38112444467658496,-0.04925982198517708,1.1424832576984651,0.043151418367739176,-0.6710719331057998,-1.1677821782207451,-0.4245674395542055,1.1906898963268222,-0.9350128920149986,0.35517584396805774,-0.6253434291338786,1.7888601202355103,1.1234542994458527,1.8782755087938483,0.5354659287170613,1.9120343107195203,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-1.4390476066913525,1.5345755744412934,-1.8817478170901514,1.1612599006566522,-2.451557238730466,-0.952356558380088,0.2409541447369789,-1.045717049247868,-0.6710719331057998,-1.1677821782207451,-0.4245674395542055,0.27732944586691677,0.25127797444001687,-1.3068053630814276,-0.6253434291338786,0.3619231135211799,-0.9664893043105794,-1.1633644345152474,-0.6721455968365369,-1.1466139124039854,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
-0.22130678279000526,0.06990474417194607,1.0543126067384534,-1.572090792757722,0.38112444467658496,-0.04925982198517708,0.2409541447369789,-0.07248250892191513,0.12609774984925398,0.21079734103533923,-0.4245674395542055,0.27732944586691677,-0.9350128920149986,-0.15620298897024543,0.9239308322338389,0.3619231135211799,-0.32342973392398494,-0.61033899027723,-0.6721455968365369,-0.03437819490452876,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
-0.7748253391087995,-0.7844865734851733,0.07562579879558516,1.1612599006566522,0.38112444467658496,-0.952356558380088,-1.5621040811859936,-0.8119031265447504,0.9232674328043078,-1.1677821782207451,-0.4245674395542055,0.27732944586691677,-0.9350128920149986,-0.41189240543939704,1.6985679629176977,0.3619231135211799,-0.32342973392398494,-0.61033899027723,-0.6721455968365369,-0.03437819490452876,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
